Name	City	Country	IATA	ICAO	Elev	
Goroka Airport	Goroka	Papua New Guinea	GKA	AYGA	10	Pacific/Port_Moresby
Madang Airport	Madang	Papua New Guinea	MAG	AYMD	10	Pacific/Port_Moresby
Mount Hagen Kagamuga Airport	Mount Hagen	Papua New Guinea	HGU	AYMH	10	Pacific/Port_Moresby
Nadzab Airport	Nadzab	Papua New Guinea	LAE	AYNZ	10	Pacific/Port_Moresby
Port Moresby Jacksons International Airport	Port Moresby	Papua New Guinea	POM	AYPY	10	Pacific/Port_Moresby
Wewak International Airport	Wewak	Papua New Guinea	WWK	AYWK	10	Pacific/Port_Moresby
Narsarsuaq Airport	Narssarssuaq	Greenland	UAK	BGBW	-3	America/Godthab
Godthaab / Nuuk Airport	Godthaab	Greenland	GOH	BGGH	-3	America/Godthab
Kangerlussuaq Airport	Sondrestrom	Greenland	SFJ	BGSF	-3	America/Godthab
Thule Air Base	Thule	Greenland	THU	BGTL	-4	America/Thule
Akureyri Airport	Akureyri	Iceland	AEY	BIAR	0	Atlantic/Reykjavik
Egilssta_ir Airport	Egilsstadir	Iceland	EGS	BIEG	0	Atlantic/Reykjavik
Hornafjör_ur Airport	Hofn	Iceland	HFN	BIHN	0	Atlantic/Reykjavik
Húsavík Airport	Husavik	Iceland	HZK	BIHU	0	Atlantic/Reykjavik
Ísafjör_ur Airport	Isafjordur	Iceland	IFJ	BIIS	0	Atlantic/Reykjavik
Keflavik International Airport	Keflavik	Iceland	KEF	BIKF	0	Atlantic/Reykjavik
Patreksfjör_ur Airport	Patreksfjordur	Iceland	PFJ	BIPA	0	Atlantic/Reykjavik
Reykjavik Airport	Reykjavik	Iceland	RKV	BIRK	0	Atlantic/Reykjavik
Siglufjör_ur Airport	Siglufjordur	Iceland	SIJ	BISI	0	Atlantic/Reykjavik
Vestmannaeyjar Airport	Vestmannaeyjar	Iceland	VEY	BIVM	0	Atlantic/Reykjavik
Sault Ste Marie Airport	Sault Sainte Marie	Canada	YAM	CYAM	-5	America/Toronto
Winnipeg / St. Andrews Airport	Winnipeg	Canada	\N	CYAV	-6	America/Winnipeg
Halifax / CFB Shearwater Heliport	Halifax	Canada	\N	CYAW	-4	America/Halifax
St. Anthony Airport	St. Anthony	Canada	YAY	CYAY	-3.5	America/St_Johns
Tofino / Long Beach Airport	Tofino	Canada	YAZ	CYAZ	-8	America/Vancouver
Kugaaruk Airport	Pelly Bay	Canada	YBB	CYBB	-7	America/Edmonton
Baie Comeau Airport	Baie Comeau	Canada	YBC	CYBC	-5	America/Toronto
CFB Bagotville	Bagotville	Canada	YBG	CYBG	-5	America/Toronto
Baker Lake Airport	Baker Lake	Canada	YBK	CYBK	-6	America/Winnipeg
Campbell River Airport	Campbell River	Canada	YBL	CYBL	-8	America/Vancouver
Brandon Municipal Airport	Brandon	Canada	YBR	CYBR	-6	America/Winnipeg
Cambridge Bay Airport	Cambridge Bay	Canada	YCB	CYCB	-7	America/Edmonton
Nanaimo Airport	Nanaimo	Canada	YCD	CYCD	-8	America/Vancouver
Castlegar/West Kootenay Regional Airport	Castlegar	Canada	YCG	CYCG	-8	America/Vancouver
Miramichi Airport	Chatham	Canada	YCH	CYCH	-4	America/Halifax
Charlo Airport	Charlo	Canada	YCL	CYCL	-4	America/Halifax
Kugluktuk Airport	Coppermine	Canada	YCO	CYCO	-7	America/Edmonton
Coronation Airport	Coronation	Canada	YCT	CYCT	-7	America/Edmonton
Chilliwack Airport	Chilliwack	Canada	YCW	CYCW	-8	America/Vancouver
Clyde River Airport	Clyde River	Canada	YCY	CYCY	-5	America/Toronto
Coral Harbour Airport	Coral Harbour	Canada	YZS	CYZS	-5	America/Coral_Harbour
Dawson City Airport	Dawson	Canada	YDA	CYDA	-8	America/Vancouver
